evidence_id,anomaly_id,transaction_id,reference_id,date,expected_value,actual_value,difference,gross_amount,method,evidence_note
ev_fee_2026_H2_1_pay_2026_H2_01955,anom_2026_H2_001,pay_2026_H2_01955,order_2026_H2_01955,2026-07-01,1.80% (INR 450.69),2.30% (INR 575.89),+0.50% (+INR 125.20),25038.54,upi,Contracted 1.80% fee rate vs charged 2.30% fee rate.
ev_fee_2026_H2_2_pay_2026_H2_00805,anom_2026_H2_001,pay_2026_H2_00805,order_2026_H2_00805,2026-07-01,1.80% (INR 557.07),2.30% (INR 711.82),+0.50% (+INR 154.75),30948.48,netbanking,Contracted 1.80% fee rate vs charged 2.30% fee rate.
ev_fee_2026_H2_3_pay_2026_H2_00456,anom_2026_H2_001,pay_2026_H2_00456,order_2026_H2_00456,2026-07-01,1.80% (INR 378.85),2.30% (INR 484.09),+0.50% (+INR 105.24),21047.30,upi,Contracted 1.80% fee rate vs charged 2.30% fee rate.
ev_fee_2026_H2_4_pay_2026_H2_00846,anom_2026_H2_001,pay_2026_H2_00846,order_2026_H2_00846,2026-07-01,1.80% (INR 84.68),2.30% (INR 108.21),+0.50% (+INR 23.53),4704.57,netbanking,Contracted 1.80% fee rate vs charged 2.30% fee rate.
ev_ref_2026_H2_001_orig,anom_2026_H2_002,rfnd_2026_H2_001,pay_2026_H2_00005,2026-12-14,"INR 22,800.00","INR 22,800.00",INR 0.00,22800.00,upi,Original legitimate refund processed for payment.
ev_ref_2026_H2_001_dup,anom_2026_H2_002,rfnd_2026_H2_002,pay_2026_H2_00005,2026-12-16,INR 0.00 (Already refunded),"INR 22,800.00","+INR 22,800.00",22800.00,upi,Second refund processed for the same payment; excess debit.
ev_miss_settl_2026_H2_pay_2026_H2_00005,anom_2026_H2_003,pay_2026_H2_00005,order_2026_H2_00005,2026-07-27,"INR 22,800.00",INR 0.00,"INR 22,800.00",22800.00,upi,The payment was captured but no matching processed settlement was found.
ev_bank_miss_2026_H2_set_2026_H2_bc_ifsc,anom_2026_H2_004,set_2026_H2_bc_ifsc,UTR2026H2BCIFSC,2026-09-16,"Bank Credit of INR 18,500.00 (UTR UTR2026H2BCIFSC)",No credit in bank account (INR 0.00),"Missing deposit of INR 18,500.00",18500.00,Bank Settlement,A processed Razorpay settlement has no matching bank credit for its UTR.
ev_bank_miss_2026_H2_set_2026_H2_bc_miss,anom_2026_H2_005,set_2026_H2_bc_miss,UTR2026H2BCMISS,2026-08-09,"Bank Credit of INR 34,200.00 (UTR UTR2026H2BCMISS)",No credit in bank account (INR 0.00),"Missing deposit of INR 34,200.00",34200.00,Bank Settlement,A processed Razorpay settlement has no matching bank credit for its UTR.
ev_settl_disc_2026_H2_set_2026_H2_00087,anom_2026_H2_006,set_2026_H2_00087,UTR2026H200087,2026-09-26,"INR 1,185,530.02","INR 1,163,830.02","INR 21,700.00",1185530.02,NEFT/RTGS,Calculated net payout versus actual settlement amount.
ev_2026_H2_dly_001,anom_2026_H2_007,set_2026_H2_00198,UTR2026H200198,2026-12-29,T+1,T+4,+3 days,0.00,NEFT/RTGS,Year-end bank holiday delay; full settlement amount received on T+4.
